unix,low,high,open,close,volume,date,vol_fiat
1618272000,2135.9,2174.52,2138.02,2168.22,16013.67363645,2021-04-13,34721167.45202362
1618185600,2102.55,2199.11,2150.54,2138.03,127578.86243868,2021-04-12,272767435.259771
1618099200,2112.58,2163.18,2133.07,2150.54,83861.37599123,2021-04-11,180347243.52417976
1618012800,2057.2,2195.0,2066.5,2133.08,172198.2806936,2021-04-10,367312708.5819043
1617926400,2048.41,2100.0,2081.29,2066.03,116343.17660276,2021-04-09,240368493.15660027
1617840000,1949.34,2084.54,1964.69,2081.29,134740.59760903,2021-04-08,280434258.39769804
1617753600,1929.69,2128.99,2113.55,1964.23,297887.0746854,2021-04-07,585118728.7093033
1617667200,2046.08,2151.0,2107.45,2113.0,195664.36827122,2021-04-06,413438810.15708786
1617580800,2003.1,2131.27,2076.31,2106.98,150633.34725495,2021-04-05,317381449.99923456
1617494400,1980.0,2093.07,2008.97,2076.36,117506.19033922,2021-04-04,243985153.37274286
1617408000,2000.0,2139.33,2134.38,2009.25,198152.20897275,2021-04-03,398137325.87849796
1617321600,1948.67,2145.0,1968.74,2134.68,273307.72019019,2021-04-02,583424524.1355947
1617235200,1886.11,1982.21,1919.99,1968.38,206220.44426132,2021-04-01,405920198.0750971
1617148800,1771.94,1948.0,1841.03,1920.0,263472.22513295,2021-03-31,505866672.255264
1617062400,1785.77,1860.0,1815.73,1841.16,151376.69947985,2021-03-30,278708724.0143207
1616976000,1675.28,1841.88,1686.92,1815.73,203102.37426045,2021-03-29,368779074.01592684
1616889600,1662.0,1725.71,1713.96,1686.92,95999.89882024,2021-03-28,161944149.31783926
1616803200,1666.4,1732.85,1699.97,1713.88,110263.21715736,2021-03-27,188977922.62165618
1616716800,1586.81,1700.7,1587.01,1700.1,175253.6705026,2021-03-26,297948765.22147024
1616630400,1548.69,1622.27,1581.97,1587.08,286235.84724682,2021-03-25,454279188.44848305
1616544000,1545.77,1740.91,1668.37,1581.79,278130.15826272,2021-03-24,439943503.03838784
1616457600,1651.58,1723.61,1681.4,1668.09,212509.86225776,2021-03-23,354485576.1335468
1616371200,1657.17,1806.39,1784.11,1681.02,200417.24791012,2021-03-22,336905402.0818699
1616284800,1748.25,1818.86,1806.04,1784.0,121647.31152544,2021-03-21,217018803.76138496
1616198400,1800.55,1869.0,1808.95,1806.47,111937.33021974,2021-03-20,202211428.92205372
1616112000,1734.29,1840.69,1776.4,1809.38,144695.63348271,2021-03-19,261809385.3109458
1616025600,1758.4,1850.0,1824.45,1776.4,190138.5330396,2021-03-18,337762090.09154546
1615939200,1742.0,1841.13,1805.7,1824.74,192527.7769105,2021-03-17,351313135.6396658
1615852800,1706.25,1819.2,1794.08,1806.03,183635.76254277,2021-03-16,331651696.22511894
1615766400,1734.87,1893.75,1848.56,1795.07,283178.47343009,2021-03-15,508325182.30015165
1615680000,1836.61,1931.97,1921.76,1848.9,153591.2699543,2021-03-14,283974899.0185053
